"URL","Page Family","Numerator","Denominator","Simplified Fraction","Decimal","Percent","Priority","Indexable","Canonical","Related Page"
"/what-is-equivalent-to-1-2-fraction","Equivalent Fractions","1","2","1/2","0.5","50%","A","true","/what-is-equivalent-to-1-2-fraction","/1-2-as-a-percent-and-decimal"
"/1-2-as-a-percent-and-decimal","Percent and Decimal","1","2","1/2","0.5","50%","A","true","/1-2-as-a-percent-and-decimal","/what-is-equivalent-to-1-2-fraction"
"/what-is-equivalent-to-2-2-fraction","Equivalent Fractions","2","2","1/1","1","100%","A","true","/what-is-equivalent-to-2-2-fraction","/2-2-as-a-percent-and-decimal"
"/2-2-as-a-percent-and-decimal","Percent and Decimal","2","2","1/1","1","100%","A","true","/2-2-as-a-percent-and-decimal","/what-is-equivalent-to-2-2-fraction"
"/what-is-equivalent-to-1-3-fraction","Equivalent Fractions","1","3","1/3","0.333333333333","33.3333333333%","A","true","/what-is-equivalent-to-1-3-fraction","/1-3-as-a-percent-and-decimal"
"/1-3-as-a-percent-and-decimal","Percent and Decimal","1","3","1/3","0.333333333333","33.3333333333%","A","true","/1-3-as-a-percent-and-decimal","/what-is-equivalent-to-1-3-fraction"
"/what-is-equivalent-to-2-3-fraction","Equivalent Fractions","2","3","2/3","0.666666666667","66.6666666667%","B","true","/what-is-equivalent-to-2-3-fraction","/2-3-as-a-percent-and-decimal"
"/2-3-as-a-percent-and-decimal","Percent and Decimal","2","3","2/3","0.666666666667","66.6666666667%","B","true","/2-3-as-a-percent-and-decimal","/what-is-equivalent-to-2-3-fraction"
"/what-is-equivalent-to-3-3-fraction","Equivalent Fractions","3","3","1/1","1","100%","A","true","/what-is-equivalent-to-3-3-fraction","/3-3-as-a-percent-and-decimal"
"/3-3-as-a-percent-and-decimal","Percent and Decimal","3","3","1/1","1","100%","A","true","/3-3-as-a-percent-and-decimal","/what-is-equivalent-to-3-3-fraction"
"/what-is-equivalent-to-4-3-fraction","Equivalent Fractions","4","3","4/3","1.33333333333","133.333333333%","B","true","/what-is-equivalent-to-4-3-fraction","/4-3-as-a-percent-and-decimal"
"/4-3-as-a-percent-and-decimal","Percent and Decimal","4","3","4/3","1.33333333333","133.333333333%","B","true","/4-3-as-a-percent-and-decimal","/what-is-equivalent-to-4-3-fraction"
"/what-is-equivalent-to-5-3-fraction","Equivalent Fractions","5","3","5/3","1.66666666667","166.666666667%","B","true","/what-is-equivalent-to-5-3-fraction","/5-3-as-a-percent-and-decimal"
"/5-3-as-a-percent-and-decimal","Percent and Decimal","5","3","5/3","1.66666666667","166.666666667%","B","true","/5-3-as-a-percent-and-decimal","/what-is-equivalent-to-5-3-fraction"
"/what-is-equivalent-to-1-4-fraction","Equivalent Fractions","1","4","1/4","0.25","25%","A","true","/what-is-equivalent-to-1-4-fraction","/1-4-as-a-percent-and-decimal"
"/1-4-as-a-percent-and-decimal","Percent and Decimal","1","4","1/4","0.25","25%","A","true","/1-4-as-a-percent-and-decimal","/what-is-equivalent-to-1-4-fraction"
"/what-is-equivalent-to-2-4-fraction","Equivalent Fractions","2","4","1/2","0.5","50%","A","true","/what-is-equivalent-to-2-4-fraction","/2-4-as-a-percent-and-decimal"
"/2-4-as-a-percent-and-decimal","Percent and Decimal","2","4","1/2","0.5","50%","A","true","/2-4-as-a-percent-and-decimal","/what-is-equivalent-to-2-4-fraction"
"/what-is-equivalent-to-4-4-fraction","Equivalent Fractions","4","4","1/1","1","100%","A","true","/what-is-equivalent-to-4-4-fraction","/4-4-as-a-percent-and-decimal"
"/4-4-as-a-percent-and-decimal","Percent and Decimal","4","4","1/1","1","100%","A","true","/4-4-as-a-percent-and-decimal","/what-is-equivalent-to-4-4-fraction"
"/what-is-equivalent-to-5-4-fraction","Equivalent Fractions","5","4","5/4","1.25","125%","A","true","/what-is-equivalent-to-5-4-fraction","/5-4-as-a-percent-and-decimal"
"/5-4-as-a-percent-and-decimal","Percent and Decimal","5","4","5/4","1.25","125%","A","true","/5-4-as-a-percent-and-decimal","/what-is-equivalent-to-5-4-fraction"
"/what-is-equivalent-to-6-4-fraction","Equivalent Fractions","6","4","3/2","1.5","150%","A","true","/what-is-equivalent-to-6-4-fraction","/6-4-as-a-percent-and-decimal"
"/6-4-as-a-percent-and-decimal","Percent and Decimal","6","4","3/2","1.5","150%","A","true","/6-4-as-a-percent-and-decimal","/what-is-equivalent-to-6-4-fraction"
"/what-is-equivalent-to-7-4-fraction","Equivalent Fractions","7","4","7/4","1.75","175%","A","true","/what-is-equivalent-to-7-4-fraction","/7-4-as-a-percent-and-decimal"
"/7-4-as-a-percent-and-decimal","Percent and Decimal","7","4","7/4","1.75","175%","A","true","/7-4-as-a-percent-and-decimal","/what-is-equivalent-to-7-4-fraction"
"/what-is-equivalent-to-1-5-fraction","Equivalent Fractions","1","5","1/5","0.2","20%","A","true","/what-is-equivalent-to-1-5-fraction","/1-5-as-a-percent-and-decimal"
"/1-5-as-a-percent-and-decimal","Percent and Decimal","1","5","1/5","0.2","20%","A","true","/1-5-as-a-percent-and-decimal","/what-is-equivalent-to-1-5-fraction"
